student_id,age,program,semester,gpa,attendance,assignments_completion,stress_level,sleep_hours,mental_wellbeing,productivity_score,distractions,career_clarity,skill_readiness,engagement_score,APS,WWS,PTMS,CRS,SRI,category,cluster,pca1,pca2,cluster_label
S1001,22,B.Sc,4,7.73,87,81,1,9,10,4,6,5,6,70,81.32,98.0,44.0,58.0,74.53,Blue,3,0.7013230513102177,3.046754053387926,Stable & Balanced Students
S1002,24,M.Tech,2,4.07,43,44,2,8,8,2,8,2,3,65,42.38,84.0,24.0,33.0,47.7,Yellow,0,-4.1047823371084915,1.512259924661984,Career-Confused Underperformers
S1003,20,B.Sc,7,4.82,51,51,4,8,6,8,2,4,4,62,49.88,68.0,84.0,44.4,60.41,Blue,0,-2.761364466566335,0.8715517877734,Career-Confused Underperformers
S1004,19,M.Tech,2,7.85,78,72,8,6,3,2,8,8,7,72,76.4,36.0,24.0,74.4,55.52,Yellow,2,1.5055357229130215,-1.3012982858750943,High-Risk Disengaged Students
S1005,18,BCA,5,7.71,92,79,4,8,7,5,5,6,7,89,82.14,72.0,54.0,69.8,72.13,Blue,3,1.755854733578576,1.7589561444335873,Stable & Balanced Students
S1006,19,B.Sc,1,5.19,57,49,1,9,10,9,1,6,4,89,52.56,98.0,94.0,57.8,72.99,Blue,0,-1.9603222510423866,3.364096427825458,Career-Confused Underperformers
S1007,24,B.Tech,1,7.48,81,89,3,9,7,1,10,5,6,78,80.92,78.0,10.0,59.6,62.81,Blue,3,0.9180356384849283,2.0165470308689257,Stable & Balanced Students
S1008,25,B.Tech,1,6.33,69,72,9,5,2,1,8,3,4,55,67.62,26.0,18.0,39.0,43.0,Yellow,2,-1.109968829125637,-2.5441149768455755,High-Risk Disengaged Students
S1009,22,BCA,1,6.06,48,56,10,5,1,5,3,5,5,45,55.44,18.0,62.0,49.0,46.43,Yellow,2,-1.7401822564717677,-3.1696909418454964,High-Risk Disengaged Students
S1010,25,BCA,4,7.51,89,85,3,7,7,7,3,10,7,90,82.24,74.0,74.0,86.0,79.1,Blue,3,2.4284144473898497,1.6414373502633346,Stable & Balanced Students
S1011,24,MBA,3,5.6,58,65,9,5,1,2,5,1,3,87,59.3,22.0,36.0,33.4,41.43,Yellow,2,-1.8864451364136132,-2.181603190276338,High-Risk Disengaged Students
S1012,25,B.Tech,7,8.81,82,93,6,7,5,6,4,9,9,76,87.74,54.0,64.0,87.2,74.48,Blue,1,3.199347928128773,0.2516664340780516,High-Achieving but Stressed
S1013,25,B.Tech,6,8.92,93,86,8,6,3,9,2,7,7,91,89.38,36.0,90.0,74.2,73.88,Blue,1,2.8645254120811896,-0.5706117096528479,High-Achieving but Stressed
S1014,23,B.Sc,2,7.29,73,71,8,5,2,5,6,6,7,78,72.36,30.0,50.0,67.6,56.58,Yellow,2,1.0144927443652674,-1.742652558990384,High-Risk Disengaged Students
S1015,18,MBA,4,7.64,83,81,6,7,5,3,8,9,7,82,79.76,54.0,30.0,80.4,63.46,Blue,3,2.0148679767004274,0.24435933596608594,Stable & Balanced Students
S1016,21,MBA,3,7.12,76,70,5,6,5,3,8,8,8,70,72.28,56.0,30.0,78.0,60.61,Blue,3,1.2828742439179368,-0.2656527149698535,Stable & Balanced Students
S1017,20,BCA,6,5.47,65,56,7,6,3,6,5,7,5,93,58.18,40.0,60.0,66.6,55.26,Yellow,2,-0.4894483754792784,-0.6459297299645632,High-Risk Disengaged Students
S1018,20,BCA,5,7.9,91,85,6,7,5,10,1,5,6,84,84.4,54.0,100.0,60.8,76.38,Blue,1,1.5800925650337998,0.5907027919173973,High-Achieving but Stressed
S1019,18,MBA,1,5.43,50,52,9,6,1,6,2,6,6,72,52.32,24.0,72.0,62.4,50.69,Yellow,2,-1.1569317278638698,-1.9970943220065347,High-Risk Disengaged Students
S1020,23,B.Tech,1,8.53,94,98,8,5,3,2,8,8,7,75,91.72,34.0,24.0,75.0,61.24,Blue,1,2.9983870159794717,-1.5197018368381612,High-Achieving but Stressed
S1021,22,B.Sc,5,8.05,95,86,5,6,6,2,8,6,6,85,86.5,60.0,24.0,65.0,64.15,Blue,3,1.9082958496643356,0.3504294087818867,Stable & Balanced Students
S1022,21,MBA,4,4.69,43,52,4,7,6,3,8,1,2,62,47.26,66.0,30.0,24.4,45.06,Yellow,0,-4.03523060192714,0.2522086287857008,Career-Confused Underperformers
S1023,24,B.Sc,5,4.19,51,41,4,7,6,5,5,7,5,60,44.36,66.0,54.0,60.0,54.04,Yellow,0,-2.486785548936178,0.2693542048532804,Career-Confused Underperformers
S1024,18,B.Sc,4,7.08,76,72,6,7,5,5,5,6,6,74,72.72,54.0,54.0,62.8,62.81,Blue,3,0.4922058270185349,0.10833760979160399,Stable & Balanced Students
S1025,22,BCA,5,5.12,66,48,4,8,6,9,1,3,4,69,54.68,68.0,94.0,41.8,63.94,Blue,0,-2.3520118706148967,1.1091975564921364,Career-Confused Underperformers
S1026,22,M.Tech,1,8.46,87,79,2,9,8,2,8,5,6,83,83.64,86.0,24.0,60.6,68.85,Blue,3,1.1711721363181071,2.5859914304276783,Stable & Balanced Students
S1027,23,MBA,4,8.21,93,99,4,7,6,2,8,9,7,80,90.44,66.0,24.0,80.0,69.48,Blue,3,2.8661896368586883,0.9028355103659459,Stable & Balanced Students
S1028,23,M.Tech,1,9.52,97,92,1,9,10,4,7,5,6,96,94.78,98.0,40.0,63.2,79.89,Blue,3,2.32235998448982,3.635807030793106,Stable & Balanced Students
S1029,25,M.Tech,1,8.46,91,83,8,6,3,5,5,6,7,73,86.04,36.0,54.0,66.6,64.21,Blue,1,2.0963704837981125,-1.0813074285345505,High-Achieving but Stressed
S1030,25,MBA,2,5.8,51,60,3,8,8,4,7,1,3,89,56.5,80.0,40.0,33.8,55.67,Yellow,0,-2.5727065505433244,1.9230827301094395,Career-Confused Underperformers
S1031,24,BCA,1,6.54,67,73,4,7,7,2,8,6,6,63,68.16,70.0,24.0,60.6,58.65,Yellow,3,-0.2136355662348777,0.5967153808361685,Stable & Balanced Students
S1032,22,M.Tech,3,5.74,54,45,7,6,3,3,7,3,4,86,52.66,40.0,34.0,45.2,44.64,Yellow,2,-2.065362331391922,-0.9593092615515155,High-Risk Disengaged Students
S1033,24,BCA,6,9.36,97,91,6,6,5,10,1,2,5,86,93.84,52.0,100.0,45.2,77.32,Blue,1,1.7101919560879102,0.27151379558079813,High-Achieving but Stressed
S1034,18,M.Tech,2,6.48,61,53,10,5,1,1,8,3,4,67,60.12,18.0,18.0,41.4,38.36,Red,2,-1.558805933367427,-2.8228024936197422,High-Risk Disengaged Students
S1035,22,M.Tech,3,5.12,53,54,4,7,6,5,6,3,4,60,52.58,66.0,50.0,40.0,53.53,Yellow,0,-2.682534735038744,0.32646896316635743,Career-Confused Underperformers
S1036,24,M.Tech,2,6.35,64,62,8,5,2,9,2,6,5,53,63.2,30.0,90.0,54.6,58.97,Yellow,2,-0.80331425251717,-2.1339391064627287,High-Risk Disengaged Students
S1037,22,B.Tech,6,5.81,55,54,8,5,2,5,5,3,4,71,55.94,30.0,54.0,42.2,47.01,Yellow,2,-1.9222001367513712,-1.9945081435076275,High-Risk Disengaged Students
S1038,19,B.Tech,8,8.25,88,81,8,6,2,9,1,7,6,88,83.7,32.0,94.0,69.6,70.72,Blue,1,2.038803268496797,-0.8766742992676836,High-Achieving but Stressed
S1039,22,B.Tech,1,7.38,85,74,9,6,2,1,8,7,6,85,77.22,28.0,18.0,69.0,51.84,Yellow,2,1.4285072014709528,-1.4738041120578973,High-Risk Disengaged Students
S1040,25,M.Tech,1,9.18,86,97,8,6,3,8,2,7,7,70,91.62,36.0,84.0,70.0,72.95,Blue,1,2.692914477723703,-1.0161401452198553,High-Achieving but Stressed
S1041,22,BCA,4,6.63,73,67,9,4,1,6,2,7,6,70,68.52,20.0,72.0,66.0,56.71,Yellow,2,0.5111854343380076,-2.7186962490466717,High-Risk Disengaged Students
S1042,19,M.Tech,1,8.19,83,88,3,8,7,8,3,6,7,67,84.06,76.0,80.0,65.4,78.43,Blue,3,1.5061701515795047,1.6418306180882198,Stable & Balanced Students
S1043,25,B.Tech,3,5.14,51,39,1,9,10,8,3,5,4,87,47.56,98.0,80.0,53.4,67.53,Blue,0,-2.619540567246084,3.238628375443463,Career-Confused Underperformers
S1044,25,BCA,3,6.79,62,63,7,6,3,1,10,5,5,51,64.66,40.0,10.0,50.2,45.39,Yellow,2,-0.9986976046819194,-1.6162831682415353,High-Risk Disengaged Students
S1045,23,B.Tech,7,5.99,74,60,5,8,5,8,3,4,4,66,64.16,60.0,80.0,45.2,63.44,Blue,0,-1.3564180334241795,0.6666175470699345,Career-Confused Underperformers
S1046,21,MBA,4,5.93,64,66,2,8,8,5,5,7,6,90,62.72,84.0,54.0,70.0,67.39,Blue,3,-0.18757724739889153,2.2442053348883326,Stable & Balanced Students
S1047,21,M.Tech,1,6.28,74,70,6,6,4,7,4,2,4,75,68.32,48.0,70.0,39.0,59.18,Yellow,2,-1.0089555991094006,-0.43840991137609364,High-Risk Disengaged Students
S1048,19,BCA,2,8.32,88,86,9,6,1,4,2,6,7,76,85.48,24.0,60.0,67.2,62.27,Blue,1,2.1714856688662225,-1.71576918964618,High-Achieving but Stressed
S1049,20,MBA,3,6.14,63,54,4,7,6,7,3,1,3,51,59.66,66.0,74.0,26.2,59.09,Yellow,0,-2.8166916320824087,0.28863572486513156,Career-Confused Underperformers
S1050,21,M.Tech,3,6.73,65,65,7,7,3,3,7,6,6,61,65.92,42.0,34.0,60.2,52.7,Yellow,2,-0.2896899652568381,-0.9241973557183996,High-Risk Disengaged Students
